Title,Latitude,Longitude,Description
"Kona Coffee Purveyors",21.2776,-157.8272,"100% Kona paired with SF's b.Patisserie pastries — the best coffee in Waikiki, full stop.

Category: coffee / roaster
Area: Waikiki
Price: $$
Must Order: 100% Kona pour-over ($8–10); iced Kona latte; b.Patisserie pastries
Parking: Validated parking at International Market Place garage (3 hrs free with purchase)

Founded by Brandon Damitz, who personally visits every Big Island farm he sources from and knows the elevation, varietal, and processing method of every bean. He partnered with Belinda Leong of b.Patisserie — a James Beard-nominated SF bakery — so the kouign-amann here is world-class. The upstairs International Market Place location means most tourists walk right past. Go before 9am and ask which estate the current pour-over is from."
"Byodo-In Temple",21.4252,-157.8257,"A full-scale replica of a 900-year-old Kyoto temple tucked against the Ko'olau cliffs — ring the 3-ton bell for blessings.

Category: cultural / temple
Area: Kaneohe
Price: $
Hours: Daily 8:30am–4:30pm. Last entry 4:15pm
Best Time: Early morning for misty mountain backdrop and fewer crowds — golden hour light is stunning for photos
Parking: Free parking at the entrance
Kid Friendly: Yes

This 1968 replica of the 950-year-old Byodo-In in Uji, Japan was built entirely without nails using traditional Japanese joinery to honor a century of Japanese immigration to Hawaii. The 3-ton brass bon-sho bell at the entrance was cast in Osaka — ring it before entering to purify your mind. The 18-foot Amida Buddha inside is covered in gold lacquer and is among the largest carved wooden Buddhas outside Japan. Filming location for Lost, Hawaii Five-0, and Magnum P.I. — the surrounding Valley of the Temples is an active multi-faith cemetery, so be respectful."
"Iolani Palace",21.3065,-157.859,"The only royal palace on American soil — home to Hawaii's last monarchs, with electricity before the White House.

Category: cultural / historical-site
Area: Downtown
Price: $27
Hours: Tue-Sat 9am-4pm; tours at set times
Best Time: Morning guided tours; Friday noon concerts by the Royal Hawaiian Band on the grounds (free)
Parking: Metered street parking; paid lots on King St
Kid Friendly: Yes

Completed in 1882 for King Kalakaua, Iolani had electric lights four years before the White House and telephones before Buckingham Palace. After the 1893 overthrow, Queen Liliuokalani was imprisoned upstairs for eight months — you can see the quilt she sewed during confinement. The palace fell into severe disrepair and a massive restoration beginning in 1969 recovered original furnishings from basements across the state. The koa wood staircase alone took artisans years to restore."
"Kukaniloko Birthing Stones",21.5028,-158.0253,"The most sacred site on Oahu — where ali'i (royalty) were born for over 700 years, radiating mana from the island's center.

Category: cultural / sacred-site
Area: Wahiawa
Price: Free
Hours: Open daily, sunrise to sunset
Best Time: Early morning when you may have it to yourself — the silence adds to the gravity of the place
Parking: Small dirt lot off Whitmore Ave — look for the state historical marker
Kid Friendly: Yes

For over 700 years, ali'i (royal) women traveled to this site in the geographic center of Oahu to give birth, attended by 36 chiefs who served as witnesses to validate the child's royal lineage. The petroglyphs carved into the stones are among the oldest on Oahu, and the eucalyptus-lined path you walk today follows what was once a ceremonial approach. The stones are believed to hold immense mana — do not sit on or touch them, and do not leave offerings unless guided by a cultural practitioner. Most locals consider this the single most sacred place on the island; treat it accordingly."
"Pearl Harbor National Memorial",21.3675,-157.9384,"The USS Arizona Memorial, Battleship Missouri, and the site where December 7, 1941 changed the world — free admission, book ahead.

Category: cultural / historic
Area: Pearl Harbor
Price: Free
Hours: Daily 7am–5pm. Last Arizona Memorial boat at 3:30pm. Closed Thanksgiving, Christmas, New Year's Day
Best Time: Arrive by 7am for walk-up tickets or book online 8 weeks ahead on Recreation.gov ($1 service fee). Mornings are cooler and less crowded
Parking: $7/day in visitor center lot — arrives early, fills fast. Do NOT leave valuables in your car (high-theft area)
Kid Friendly: Yes

The USS Arizona still leaks about a quart of oil per day — sailors call them 'black tears,' and the slick is visible from the memorial platform. The structure was designed by Alfred Preis, an Austrian-born architect who was himself interned as an enemy alien after the attack. Its dip-and-rise shape symbolizes initial defeat and ultimate victory. Arrive by 7am for walk-up tickets or book on Recreation.gov eight weeks ahead. NO BAGS ALLOWED — only wallets, phones, cameras, and water bottles. Plan a full day if visiting all four Pearl Harbor sites."
"Hans Hedemann Surf School",21.272,-157.8211,"Founded by a former Pipeline pro — the gold standard for Waikiki surf lessons with guaranteed stand-ups and zero bro energy.

Category: experience / surf-school
Area: Waikiki
Price: $$ — Group lesson ~$80, semi-private ~$135, private ~$200 (2 hrs, board included)
Hours: Daily 8 AM–4 PM; lessons every 2 hours
Best Time: 8 AM first session for smallest crowds and cleanest waves; book 2–3 days ahead in peak season
Parking: Park at Waikiki Shell lot or Kapiolani Park; school meets at the Queen Kapiolani Hotel, 150 Kapahulu Ave
Kid Friendly: Yes

Hans Hedemann grew up on Oahu, was ranked 3rd in the world as a pro surfer, competed at Pipeline starting in 1978, and starred in the 1987 surf film North Shore before founding his surf school around 2001. His instructors are all certified watermen — not random backpackers — and the school has maintained the highest safety record in Waikiki for over two decades. They teach at Canoes and Queens breaks using soft-top longboards and a patient, methodical approach. The 4:1 student-to-instructor ratio means you actually get coached, not just pushed into whitewater and abandoned. They also run an advanced program for intermediates wanting to progress to shortboards. Located inside the Queen Kapiolani Hotel lobby at 150 Kapahulu Ave, which means real changing rooms and showers — a luxury most surf schools skip."
"Uncle Bryan's Sunset Suratt Surf School",21.5933,-158.1095,"A born-and-raised North Shore uncle who teaches surfing the way it was meant to be learned — with aloha, patience, and deep ocean knowledge.

Category: experience / surf-school
Area: Haleiwa
Price: $$ — Group lesson ~$85, private ~$175 (2 hrs, board and rash guard included)
Hours: Daily 9 AM–5 PM; lessons at 9 AM, 11 AM, 1 PM, 3 PM
Best Time: Summer (May–Sep) for the most beginner-friendly conditions on the North Shore; 9 AM session for glassiest water
Parking: Meet at Haleiwa Beach Park; free parking lot usually has space
Kid Friendly: Yes

Bryan Suratt grew up surfing Haleiwa and Sunset Beach and has been teaching since the 1990s. His school is the real deal — no fancy marketing, no hotel lobby, just an uncle with decades of wave knowledge who genuinely loves putting people on their first wave. Lessons happen at Puaena Point and Haleiwa Beach Park where the waves are forgiving and the vibe is local. Bryan's instructors are all North Shore locals who grew up in the water, and they teach ocean safety and respect alongside technique. You'll learn to read currents, understand wave sets, and position yourself — not just pop up and fall. Many local families send their keiki here for summer surf camps. The school also runs intermediate sessions at Chun's Reef for those ready to graduate from whitewater."
"KCC Farmers Market",21.269,-157.8,"Hawaii's biggest and best farmers market — 80+ vendors, incredible prepared food stalls, and a Diamond Head backdrop.

Category: farmers-market / weekend-market
Area: Kapahulu / Diamond Head
Price: $-$$
Hours: Saturdays 7:30am-11am; Tuesdays 4-7pm (smaller)
Best Time: Arrive at 7:30am Saturday opening; by 9:30am the best items sell out
Parking: Free parking at KCC campus; fills up fast
Kid Friendly: Yes

Founded in 2003 by the Hawaii Farm Bureau at Kapiolani Community College, KCC grew from a handful of tables into Hawaii's largest farmers market with 80+ vendors. Chef Ed Kenney and other local restaurant icons helped build its farm-to-table reputation by shopping here publicly. The Saturday market is a pilgrimage -- arrive at 7:30am opening or face the crowds. The Tuesday evening version is a local secret with the same vendors but a fraction of the Saturday mob."
"Diamond Head Summit",21.2622,-157.8101,"Oahu's most iconic crater climb — tunnels, stairs, and 360-degree views that justify the hype.

Category: hike / sunrise
Area: Diamond Head
Price: $
Hours: Gate opens 6am; last entry 4pm
Best Time: Sunrise — book the 6am slot weeks in advance; it sells out
Parking: $10/vehicle inside the crater; $5/person entry (reservations required)
Kid Friendly: Yes

Hawaiians called it Le'ahi ('brow of the ahi fish') for its profile — British sailors in 1825 mistook calcite crystals for diamonds and the English name stuck. The US Army built Fort Ruger here in 1908, carving the tunnels and fire control station you climb through today as a coastal defense post to spot enemy ships. The spiral staircase and dark tunnel were part of the military observation network. Book reservations at gostateparks.hawaii.gov — the 6am sunrise slot sells out weeks ahead."
"Ka'ena Point Trail",21.5728,-158.2357,"Oahu's raw western tip — monk seals laze on rocks and albatross nest where the island ends.

Category: hike / coastal
Area: Waianae
Price: Free
Hours: Sunrise to sunset daily (no gates on the Waianae side)
Best Time: Early morning to beat the heat; Nov–Jun for albatross nesting season
Parking: Free lot at end of Farrington Hwy past Yokohama Bay

In Hawaiian mythology Ka'ena Point is a leina a ka 'uhane — a sacred 'leaping place of souls' where spirits of the dead depart the physical world into the afterlife realm of Po. The trail follows an abandoned railroad bed built in 1899 by Benjamin Dillingham's Oahu Railway & Land Co., which once connected Honolulu to the North Shore around this rugged coast. The fenced sanctuary protects nesting Laysan albatross (moli) and critically endangered Hawaiian monk seals. Bring 2+ liters of water — zero shade for 5 miles, and the currents here are deadly."
"Koko Crater Railway",21.286,-157.6829,"1,048 railway ties straight up a crater — the most brutal 1.6-mile workout on the island.

Category: hike / challenging
Area: Hawaii Kai
Price: Free
Hours: Open 24 hours (no gates; parking lot at Koko Head District Park always accessible)
Best Time: Pre-dawn start (bring headlamp) — avoid midday heat at all costs
Parking: Free parking at Koko Head District Park

The 1,048 railroad ties were laid during WWII as a tramway to haul supplies and personnel to a radar tracking station at the summit — the military needed eyes on the ocean approaches after Pearl Harbor. The ties were originally fitted with rails and a cable car system. The notorious bridge section near the top spans a gap where the original trestle crossed a ravine. Inside the crater at the summit sits a forgotten botanical garden planted in the 1950s with plumeria, cacti, and native dryland species. Locals do this as a pre-dawn workout — arrive with a headlamp."
"Lanikai Pillbox",21.3901,-157.719,"Two WWII bunkers over the Mokulua Islands — the most photogenic sunrise hike on the windward side.

Category: hike / pillbox
Area: Kailua
Price: Free
Hours: Sunrise to sunset (no gates; unofficial trail on public land)
Best Time: Sunrise — start 30 min before for the climb; the light over the Mokes is unbeatable
Parking: Street parking on Kaelepulu Dr — arrive before sunrise to find a spot

Officially the Ka'iwa Ridge Trail, these concrete bunkers were built after Pearl Harbor as coastal defense against Japanese invasion — soldiers watched for enemy ships from these exact vantage points. The name Lanikai ('heavenly sea') was coined in the 1920s when the area was subdivided. The Mokulua Islands offshore are state seabird sanctuaries. Start 30 minutes before sunrise for the famous golden light that makes this Oahu's most photographed hike."
"Makapu'u Lighthouse Trail",21.3147,-157.6553,"Fully paved and stroller-friendly with whale sightings Nov–May and dramatic ocean cliffs.

Category: hike / coastal
Area: Makapu'u
Price: Free
Hours: Sunrise to sunset daily (parking lot gate opens at sunrise)
Best Time: Jan–Mar for peak whale watching; early morning to avoid heat and crowds
Parking: Free lot off Kalanianaole Hwy (fills by 9am weekends)
Kid Friendly: Yes

The lighthouse at the summit has been guiding ships since 1909 and houses one of the largest lighthouse lenses in the country — a hyper-radiant Fresnel lens over 8 feet tall, shipped from Paris. The trail was originally built as an access road for lighthouse keepers who lived at the point. During whale season (Jan-Mar), this is the single best land-based whale watching spot in Hawaii — humpbacks breach so close you can hear the splash. The tidepools below the lookout harbor rare species, but only scramble down when surf is calm. Fully paved and stroller-accessible."
"Manoa Falls",21.3419,-157.8031,"A 150-ft jungle waterfall 15 minutes from Waikiki — Jurassic Park vibes are not an accident.

Category: hike / waterfall
Area: Manoa
Price: $
Hours: Open daily 8am–6pm (last entry by 4:30pm); closed during flash flood warnings
Best Time: Early morning for fewer crowds; after light rain for a fuller waterfall (but trail gets muddier)
Parking: $7 parking at 3739 Manoa Rd (the only lot)
Kid Friendly: Yes

Manoa Valley receives over 150 inches of rain annually, making it one of the wettest inhabited places in the US — that's why the 150-ft falls almost never dry up. Parts of Jurassic Park, Lost, and dozens of other productions filmed in this valley, and the ancient Hawaiians considered it home to Kahalaopuna, a beautiful maiden born of the wind and rain of Manoa. The trail follows a route once used by Hawaiian farmers tending taro and banana plots in the upper valley. Do NOT swim at the base — rockfall and leptospirosis are genuine risks."
"Bishop Museum",21.3326,-157.87,"Hawaii's biggest museum with a world-class planetarium and a hands-on science center that rivals the mainland.

Category: kids / museum
Area: Kalihi
Price: $$
Hours: Wed–Mon 9am–5pm. Closed Tuesdays
Best Time: Arrive at opening on a weekday; planetarium shows sell out so grab tickets first
Parking: Free parking on-site in museum lot
Kid Friendly: Yes

Founded in 1889 by Charles Reed Bishop in honor of his wife Princess Bernice Pauahi Bishop, this is the largest museum in Polynesia and houses over 24 million artifacts including the world's foremost collection of Hawaiian and Pacific Island natural history. The Science Adventure Center's erupting volcano model was designed by the same firm behind Smithsonian exhibits. Most visitors miss the native Hawaiian garden behind the main hall and the original koa-wood Hawaiian Hall ceilings."
"Kualoa Ranch",21.5213,-157.8377,"Jurassic Valley ATV tours, horseback rides, and ziplines on a working cattle ranch — where they filmed Jurassic Park.

Category: kids / adventure
Area: Kualoa
Price: $$$
Hours: Daily 7:30am–5:30pm; tours run on set schedules — book online in advance
Best Time: Morning tours have better light for Kualoa Valley photos and cooler temps
Parking: Free parking on-site
Kid Friendly: Yes

This 4,000-acre working cattle ranch has been in the Morgan family since 1850, purchased from King Kamehameha III. The valley is considered one of the most sacred places on Oahu in Hawaiian tradition. Over 200 movies and TV shows have filmed here including Jurassic Park, Lost, and Hawaii Five-0. The 'Secret Island' beach -- included with some packages -- has calm shallow water and kayaks, the best-kept secret for families with young children."
"Polynesian Cultural Center",21.639,-157.9203,"Six island villages, canoe rides, fire-knife dancing, and a luau — the best cultural experience on Oahu for families.

Category: kids / museum
Area: Laie
Price: $$$
Hours: Mon–Sat 12:30pm–9pm. Closed Sundays
Best Time: Arrive at opening to see all six villages before the evening show; weekdays for smaller crowds
Parking: Free parking on-site
Kid Friendly: Yes

Founded in 1963, the center was originally staffed by BYU-Hawaii students who performed and demonstrated crafts to pay tuition -- a tradition continuing today with over 100 student employees from Pacific Island nations. Six villages represent Hawaii, Samoa, Tonga, Fiji, Tahiti, and Aotearoa. The evening 'Ha: Breath of Life' show features a 100-person cast with the world-famous Samoan fire-knife dance. Arrive at 12:30 sharp to start with the least-crowded village."
"Tamashiro Market",21.3217,-157.867,"Honolulu's most trusted fish market for over 80 years — where local families buy poke and fresh seafood for parties.

Category: market / fish-market
Area: Kalihi
Price: $$
Must Order: shoyu ahi poke; spicy tako poke; poke plate
Parking: Small lot in front; street parking on N King St

The Tamashiro family opened this Kalihi fish market in the 1940s, originally serving the neighborhood's Japanese and Filipino fishing families. The poke counter -- with a dozen daily varieties of ahi, tako, and seasonal specials -- is arguably the best on Oahu. The hand-painted exterior murals have become a Kalihi landmark. Come Saturday before 10am for the freshest selection; by noon, the popular cuts are gone and locals are eating styrofoam plates standing in the parking lot."
"Bar Leather Apron",21.3081,-157.8638,"One of the world's best cocktail bars hidden on a downtown Honolulu mezzanine — 15 seats, Japanese technique, local ingredients.

Category: nightlife / cocktail-bar
Area: Downtown
Price: $$$
Must Order: bartender's choice cocktail; old fashioned with Hawaiian honey
Parking: Street parking; paid lot nearby

Founded by Justin Park, who left a finance career to pursue bartending, this 15-seat speakeasy landed on Asia's 50 Best Bars and won a Spirited Award at Tales of the Cocktail. Justin trained in Tokyo and brings Japanese precision to every drink, using house-made syrups from local citrus and Hawaiian honey. Reservations are essential and released weekly online -- walk-ins only work on quiet Tuesday or Wednesday nights."
"La Mariana Sailing Club",21.3219,-157.8931,"Hawaii's original tiki bar since 1957 — hidden in an industrial marina with museum-worthy tiki artifacts and strong mai tais.

Category: nightlife / tiki-bar
Area: Sand Island
Price: $$
Must Order: mai tai; blue hawaii
Parking: Free lot at the marina

Annette Nahinu La Mariana opened this marina bar in 1957 and spent decades rescuing tiki artifacts from demolished restaurants -- puffer fish lamps from Trader Vic's original Oakland location, rattan from Don the Beachcomber, carvings from the Hilton's Tapa Room. She passed away in 2012 but her irreplaceable collection remains intact. Quentin Tarantino and Bill Murray have both made pilgrimages here. The Friday night live music with ukulele singalongs feels frozen in 1962."
"Fête",21.3085,-157.8617,"Hawaii's first James Beard Best Chef winner in 19 years — seasonal New American meets local soul food in a Chinatown bistro.

Category: restaurant / fine-dining
Area: Chinatown / Downtown
Price: $$$
Must Order: carbonara with Portuguese sausage; twice-fried chicken with grits and collard greens; duck fat fries
Parking: Street parking on Smith/Bethel; paid lots on Maunakea St

Opened 2016 by Chef Robynne Maii — won the James Beard Award for Best Chef Northwest & Pacific in 2022, the first Hawaii-based chef to win the regional award since Alan Wong in 2003. The menu bridges Southern comfort, French technique, and Hawaiian ingredients. Mon–Sat 11am–10pm. Ask for a seat near the open kitchen. Great combined with a Chinatown walk — galleries, Maunakea Marketplace, and Manifest coffee/cocktails all nearby."
"Helena's Hawaiian Food",21.3303,-157.8649,"James Beard Award winner in a Kalihi strip mall — the pipikaula short ribs will ruin you for all other beef.

Category: restaurant / hawaiian
Area: Kalihi
Price: $$
Must Order: Hawaiian plate (pipikaula short ribs, lomi salmon, poi, haupia)
Parking: Strip mall parking lot on N. School St in Kalihi

Founded in 1946 by Helen 'Helena' Chock in a Kalihi strip mall, Helena's won the James Beard America's Classics Award in 2000 — the only traditional Hawaiian restaurant ever honored and a landmark moment for indigenous cuisine recognition. Now run by her grandson Craig Katsuyoshi, the pipikaula short ribs (Hawaiian-style dried beef) are the signature you cannot skip. Cash only, limited hours (Tue-Fri), and the line moves slow — but this is sacred-level Hawaiian food. Eat poi with two fingers, never one, never a fork."
"Highway Inn Kakaako",21.2976,-157.8615,"Traditional Hawaiian plate lunch since 1947 — the poi, laulau, and pipikaula are as real as it gets.

Category: restaurant / hawaiian
Area: Kakaako
Price: $$
Must Order: Laulau — pork and butterfish wrapped in taro and ti leaves, steamed tender; Pipikaula short ribs — Hawaiian-style dried beef, grilled smoky and chewy; Poi — fresh-pounded, the real deal, order it with your plate
Parking: Parking lot at SALT at Our Kakaako. Some street parking on Coral St.

Founded in 1947 by Seiichi and Nancy Toguchi on the old Waipahu highway connecting sugar plantation camps — hence the name. Now in its fourth generation under Monica Toguchi, who opened the sleek Kakaako location in SALT while keeping the original Waipahu spot alive. The poi is fresh-pounded, the laulau uses traditional taro and ti leaf wrapping, and the pipikaula is smoky perfection. A James Beard semifinalist, Highway Inn bridges old Hawaiian traditions with a modern setting without compromising the recipes."
"Ono Seafood",21.2811,-157.8139,"Made-to-order poke that locals will wait 30 minutes for — the shoyu ahi is non-negotiable.

Category: restaurant / poke
Area: Kapahulu
Price: $
Must Order: shoyu ahi ($14–16); spicy ahi
Parking: Only 5–6 parking spots behind shop; park on side streets off Kapahulu

Founded by the Ono family in 1995 on Kapahulu Ave — 'ono' means 'delicious' in Hawaiian, and the name delivers. They cut and season fish to order, never pre-mixed, using a shoyu-sesame marinade recipe that hasn't changed in nearly 30 years. Featured on countless 'Best Poke' lists including Travel Channel, Food Network, and Bon Appetit. The tiny shop has no seating — the local move is to walk your bowl to Kapiolani Park for a Diamond Head view picnic. Sells out by early afternoon most days."
"Palace Saimin",21.3272,-157.8703,"Hand-wrapped won tons since 1946 — if this place closes, Honolulu loses its soul.

Category: restaurant / hawaiian
Area: Kalihi
Price: $
Must Order: won ton min ($9–12, hand-wrapped won tons in pork-shrimp broth); teriyaki beef sticks ($2–4 each — NON-NEGOTIABLE side order)
Parking: Small lot next to the building on King Street
*** CASH ONLY ***

Family-run since 1946. Saimin is Hawaii's own noodle soup — evolved on sugar plantations where Japanese, Chinese, Filipino, and Portuguese workers shared ingredients. The tiny dining room packs out during lunch and dinner — lines form outside on weekends and evenings. Open Tue–Fri 10am–8pm, Sat 10am–3pm. Closed Sun and Mon. Combine with Helena's and Mitsu-Ken (also in Kalihi) for a full local food pilgrimage."
"Rainbow Drive-In",21.2753,-157.8142,"The plate lunch cathedral since 1961 — mixed plate with gravy is the move.

Category: restaurant / plate-lunch
Area: Kapahulu
Price: $
Must Order: mixed plate with gravy ($12–14) — teriyaki beef + mahimahi + fried chicken, 2 scoops rice, mac salad
Parking: Small lot in front, fills up fast at lunch — street parking on Kanaina Ave

Founded in 1961 by Seiju Ifuku, a WWII veteran of the legendary 442nd Regimental Combat Team — the most decorated unit in US military history, composed entirely of Japanese-Americans from Hawaii. 'Plate lunch' evolved from plantation-era bento boxes; Rainbow helped codify the modern two-scoop-rice format. Barack Obama ate here regularly growing up and during presidential visits. The line snakes through the parking lot during the noon rush — order before 11:30am or after 1pm to skip the worst of it. The mixed plate with gravy over rice is the canonical order. Take your plate one block to Kapiolani Park and eat under a monkeypod tree facing Diamond Head."
